finding_id,access_point_id,access_point,zone,protocol,device_type,weakness_id,weakness,source,confidence,base_severity,risk_score,risk_rating,iso27001_failed,nist80053_failed,evidence
F-007-01,AP-007,Floor 1 office door,general,nfc_hf,MIFARE DESFire EV2/EV3,W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.1,Low,"A.7.13, A.8.8",RA-5,MIFARE DESFire EV2/EV3 at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-008-01,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,3.64,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as MIFARE Ultralight (confidence 0.57). No challenge and no authentication round observed in the exchange.
F-008-02,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,1.0,Medium,2.73,Medium,,,Identified as MIFARE Ultralight (confidence 0.57). The credential responded without requiring any proof from the reader.
F-008-03,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.993,High,3.64,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as MIFARE Ultralight (confidence 0.57). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-008-04,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,3.64,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as MIFARE Ultralight (confidence 0.57). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-008-05,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.64,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8","Reader-to-controller interface recorded as OSDP with Secure Channel not enabled, which leaves the link unauthenticated."
F-008-06,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.73,Medium,"A.7.13, A.8.8",RA-5,NTAG21x at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-008-07,AP-008,Data hall door 1,secure,nfc_hf,MIFARE Ultralight,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.73,Medium,A.5.18,"IA-5, PE-2",NTAG21x carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-009-01,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,3.64,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as MIFARE Ultralight (confidence 0.86). No challenge and no authentication round observed in the exchange.
F-009-02,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,1.0,Medium,2.73,Medium,,,Identified as MIFARE Ultralight (confidence 0.86). The credential responded without requiring any proof from the reader.
F-009-03,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.897,High,3.64,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as MIFARE Ultralight (confidence 0.86). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-009-04,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,3.64,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as MIFARE Ultralight (confidence 0.86). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-009-05,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.64,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-009-06,AP-009,Server room 1,secure,nfc_hf,MIFARE Ultralight,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.73,Medium,A.5.18,"IA-5, PE-2",NTAG21x carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-010-01,AP-010,Staff entrance 2,general,nfc_hf,HID Seos,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.381,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-011-01,AP-011,Server room 2,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,rf_probe,0.903,High,5.2,High,"A.7.2, A.8.5, A.8.8","CM-6, PE-3",Identified as MIFARE DESFire EV2/EV3 (confidence 0.92). A legacy-format credential was accepted by this reader alongside the current format.
F-011-02,AP-011,Server room 2,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,5.2,High,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-011-03,AP-011,Server room 2,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,3.9,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-011-04,AP-011,Server room 2,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.9,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-011-05,AP-011,Server room 2,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,5.2,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a secure zone boundary; no PIN, biometric or supervised entry is required."
F-012-01,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,2.8,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as T5577 (writable) (confidence 0.68). No challenge and no authentication round observed in the exchange.
F-012-02,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,1.0,Medium,2.1,Low,,,Identified as T5577 (writable) (confidence 0.68). The credential responded without requiring any proof from the reader.
F-012-03,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.977,High,2.8,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as T5577 (writable) (confidence 0.68). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-012-04,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,2.8,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as T5577 (writable) (confidence 0.68). 1 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-012-05,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,2.8,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8","Reader-to-controller interface recorded as OSDP with Secure Channel not enabled, which leaves the link unauthenticated."
F-012-06,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.1,Low,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-012-07,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.1,Low,"A.7.13, A.8.8",RA-5,EM4100/EM4102 at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-012-08,AP-012,Floor 2 office door,general,rfid_lf,T5577 (writable),W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.1,Low,A.5.18,"IA-5, PE-2",EM4100/EM4102 carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-013-01,AP-013,Server room 3,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,rf_probe,0.907,High,5.2,High,"A.7.2, A.8.5, A.8.8","CM-6, PE-3",Identified as MIFARE DESFire EV2/EV3 (confidence 0.97). A legacy-format credential was accepted by this reader alongside the current format.
F-013-02,AP-013,Server room 3,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,5.2,High,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-013-03,AP-013,Server room 3,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,3.9,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-013-04,AP-013,Server room 3,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,5.2,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a secure zone boundary; no PIN, biometric or supervised entry is required."
F-014-01,AP-014,Main entrance turnstile 3,general,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.888,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-014-02,AP-014,Main entrance turnstile 3,general,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.916,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-015-01,AP-015,Meeting suite door 2,general,nfc_hf,HID iCLASS legacy,W-BROKEN-CRYPTO,Deprecated or academically broken proprietary cipher,rf_probe,0.973,High,2.8,Medium,"A.8.5, A.8.8","RA-5, SC-13",Identified as HID iCLASS legacy (confidence 0.97). This generation's proprietary cipher has published practical key-recovery attacks (see mapping references).
F-015-02,AP-015,Meeting suite door 2,general,nfc_hf,HID iCLASS legacy,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,0.987,Medium,2.1,Low,,,Identified as HID iCLASS legacy (confidence 0.97). The credential responded without requiring any proof from the reader.
F-015-03,AP-015,Meeting suite door 2,general,nfc_hf,HID iCLASS legacy,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,2.8,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-015-04,AP-015,Meeting suite door 2,general,nfc_hf,HID iCLASS legacy,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.1,Low,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-015-05,AP-015,Meeting suite door 2,general,nfc_hf,HID iCLASS legacy,W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.1,Low,"A.7.13, A.8.8",RA-5,HID iCLASS legacy at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-016-01,AP-016,Staff entrance 3,general,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.916,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-017-01,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,3.349,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as MIFARE Ultralight (confidence 0.88). No challenge and no authentication round observed in the exchange.
F-017-02,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,1.0,Medium,2.512,Medium,,,Identified as MIFARE Ultralight (confidence 0.88). The credential responded without requiring any proof from the reader.
F-017-03,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.89,High,3.349,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as MIFARE Ultralight (confidence 0.88). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-017-04,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,3.349,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as MIFARE Ultralight (confidence 0.88). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-017-05,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.349,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-017-06,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.512,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-017-07,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.512,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-017-08,AP-017,Server room 4,secure,nfc_hf,MIFARE Ultralight,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.512,Medium,A.5.18,"IA-5, PE-2",MIFARE Ultralight carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-018-01,AP-018,Server room 5,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,4.186,High,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-018-02,AP-018,Server room 5,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,3.139,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-019-01,AP-019,Data hall door 2,secure,ir,IR device in secure area,W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,rf_probe,0.997,Medium,2.184,Low,A.8.5,,Identified as IR device in secure area (confidence 0.68). The device acted on a replayed capture of its own infrared command with no authentication.
F-019-02,AP-019,Data hall door 2,secure,ir,IR device in secure area,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.184,Low,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-019-03,AP-019,Data hall door 2,secure,ir,IR device in secure area,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.184,Low,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-020-01,AP-020,Plant room 1,restricted,nfc_hf,MIFARE DESFire EV2/EV3,W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,rf_probe,0.733,High,3.466,Medium,"A.7.2, A.8.5, A.8.8","CM-6, PE-3",Identified as MIFARE DESFire EV2/EV3 (confidence 0.61). A legacy-format credential was accepted by this reader alongside the current format.
F-020-02,AP-020,Plant room 1,restricted,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,4.0,High,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-020-03,AP-020,Plant room 1,restricted,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.0,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-020-04,AP-020,Plant room 1,restricted,nfc_hf,MIFARE DESFire EV2/EV3,W-SHARED-CREDENTIAL,Non-attributable shared or pooled credential in use,inventory,1.0,Medium,3.0,Medium,A.5.16,"AC-2, IA-2, PE-8","A pooled credential is issued for this access point, so entry events cannot be attributed to an individual."
F-020-05,AP-020,Plant room 1,restricted,nfc_hf,MIFARE DESFire EV2/EV3,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,4.0,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a restricted zone boundary; no PIN, biometric or supervised entry is required."
F-021-01,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,2.8,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as Cyfral (confidence 0.99). No challenge and no authentication round observed in the exchange.
F-021-02,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.983,High,2.8,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as Cyfral (confidence 0.99). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-021-03,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,2.8,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as Cyfral (confidence 0.99). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-021-04,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.1,Low,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-021-05,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.1,Low,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
