framework,control_id,title,family,status,finding_ids,score,failing_access_points,weakened_access_points,assessed_access_points,estate_score
iso27001,A.7.3,"Securing offices, rooms and facilities",7,not_met,"F-003-04, F-004-04, F-006-01, F-011-05, F-013-04, F-019-01, F-020-05, F-022-01, F-023-05, F-025-01, F-026-01",0.0,6,5,28,0.6964
iso27001,A.7.4,Physical security monitoring,7,not_met,"F-001-02, F-002-06, F-002-07, F-003-03, F-004-03, F-005-01, F-005-02, F-006-03, F-006-04, F-008-05, F-009-05, F-010-01, F-011-02, F-011-03, F-011-04, F-012-05, F-012-06, F-013-02, F-013-03, F-014-01, F-014-02, F-015-03, F-015-04, F-016-01, F-017-05, F-017-06, F-017-07, F-018-01, F-018-02, F-019-02, F-019-03, F-020-02, F-020-03, F-021-04, F-021-05, F-022-02, F-023-01, F-023-03, F-023-04, F-024-06, F-024-07, F-024-08, F-025-03, F-026-02, F-027-01, F-027-02, F-028-01",0.0,22,5,28,0.125
iso27001,A.7.6,Working in secure areas,7,not_assessed,,0.0,0,0,28,0.0
iso27001,A.7.9,Security of assets off-premises,7,partially_met,"F-002-02, F-008-02, F-009-02, F-012-02, F-015-02, F-017-02, F-024-02",0.5,0,7,28,0.875
iso27001,A.8.15,Logging,8,not_met,"F-003-03, F-004-03, F-006-04, F-011-04, F-012-06, F-017-07, F-019-03, F-020-03, F-020-04, F-021-05, F-022-02, F-023-04, F-024-08, F-025-03, F-026-02, F-027-02",0.0,15,0,28,0.4643
iso27001,A.8.16,Monitoring activities,8,partially_met,"F-002-07, F-003-03, F-004-03, F-005-02, F-006-03, F-006-04, F-011-03, F-011-04, F-012-06, F-013-03, F-014-02, F-015-04, F-016-01, F-017-06, F-017-07, F-018-02, F-019-02, F-019-03, F-020-03, F-021-04, F-021-05, F-022-02, F-023-03, F-023-04, F-024-07, F-024-08, F-025-03, F-026-02, F-027-02",0.5,0,22,28,0.6071
iso27001,A.8.34,Protection of information systems during audit testing,8,met,,1.0,0,0,28,1.0
iso27001,A.8.5,Secure authentication,8,not_met,"F-001-01, F-001-02, F-002-01, F-002-02, F-002-05, F-002-06, F-003-01, F-003-02, F-003-04, F-004-01, F-004-02, F-004-04, F-005-01, F-006-01, F-006-02, F-008-01, F-008-02, F-008-04, F-008-05, F-009-01, F-009-02, F-009-04, F-009-05, F-010-01, F-011-01, F-011-02, F-011-05, F-012-01, F-012-02, F-012-04, F-012-05, F-013-01, F-013-02, F-013-04, F-014-01, F-015-01, F-015-02, F-015-03, F-017-01, F-017-02, F-017-04, F-017-05, F-018-01, F-019-01, F-020-01, F-020-02, F-020-05, F-021-01, F-021-03, F-022-01, F-023-01, F-023-02, F-023-05, F-024-01, F-024-02, F-024-05, F-024-06, F-025-01, F-025-02, F-026-01, F-027-01, F-028-01",0.0,20,6,28,0.1786
iso27001,A.8.8,Management of technical vulnerabilities,8,not_met,"F-001-01, F-001-03, F-002-01, F-002-04, F-002-05, F-003-01, F-003-02, F-004-01, F-004-02, F-006-02, F-007-01, F-008-01, F-008-04, F-008-06, F-009-01, F-009-04, F-011-01, F-012-01, F-012-04, F-012-07, F-013-01, F-015-01, F-015-05, F-017-01, F-017-04, F-020-01, F-021-01, F-021-03, F-023-02, F-024-01, F-024-04, F-024-05, F-025-02, F-027-03",0.0,11,0,28,0.6071
nist80053,AC-2,Account Management,AC,not_met,"F-002-03, F-002-04, F-002-08, F-008-03, F-008-07, F-009-03, F-009-06, F-012-03, F-012-08, F-017-03, F-017-08, F-020-04, F-021-02, F-021-06, F-023-06, F-024-03, F-024-04, F-024-09",0.0,8,1,28,0.6964
nist80053,AC-3,Access Enforcement,AC,not_met,"F-002-05, F-006-01, F-008-04, F-009-04, F-012-04, F-017-04, F-019-01, F-021-03, F-022-01, F-023-01, F-024-05, F-025-01, F-026-01",0.0,8,5,28,0.625
nist80053,AU-2,Event Logging,AU,not_met,"F-003-03, F-004-03, F-006-04, F-011-04, F-012-06, F-017-07, F-019-03, F-020-03, F-021-05, F-022-02, F-023-04, F-024-08, F-025-03, F-026-02, F-027-02",0.0,15,0,28,0.4643
nist80053,AU-6,"Audit Record Review, Analysis, and Reporting",AU,partially_met,"F-003-03, F-004-03, F-006-04, F-011-04, F-012-06, F-017-07, F-019-03, F-020-03, F-021-05, F-022-02, F-023-04, F-024-08, F-025-03, F-026-02, F-027-02",0.5,0,15,28,0.7321
nist80053,CA-8,Penetration Testing,CA,met,,1.0,0,0,28,1.0
nist80053,CM-6,Configuration Settings,CM,not_met,"F-001-01, F-001-03, F-003-01, F-004-01, F-007-01, F-008-06, F-011-01, F-012-07, F-013-01, F-015-01, F-015-05, F-020-01, F-027-03",0.0,4,5,28,0.7679
nist80053,IA-2,Identification and Authentication (Organizational Users),IA,not_met,"F-002-03, F-002-04, F-002-05, F-003-04, F-004-04, F-008-03, F-008-04, F-009-03, F-009-04, F-011-05, F-012-03, F-012-04, F-013-04, F-017-03, F-017-04, F-020-04, F-020-05, F-021-02, F-021-03, F-023-05, F-024-03, F-024-04, F-024-05",0.0,6,7,28,0.6607
nist80053,IA-3,Device Identification and Authentication,IA,not_met,"F-002-01, F-002-02, F-002-05, F-006-02, F-008-01, F-008-02, F-008-04, F-009-01, F-009-02, F-009-04, F-012-01, F-012-02, F-012-04, F-015-02, F-017-01, F-017-02, F-017-04, F-021-01, F-021-03, F-023-02, F-024-01, F-024-02, F-024-05, F-025-02",0.0,9,2,28,0.6429
nist80053,IA-5,Authenticator Management,IA,not_met,"F-002-08, F-008-07, F-009-06, F-012-08, F-017-08, F-021-06, F-023-06, F-024-09",0.0,8,0,28,0.7143
nist80053,PE-16,Delivery and Removal,PE,not_met,F-023-01,0.0,1,0,28,0.9643
nist80053,PE-18,Location of System Components,PE,met,"F-006-01, F-019-01, F-022-01, F-025-01, F-026-01",1.0,0,0,28,1.0
nist80053,PE-2,Physical Access Authorizations,PE,not_met,"F-002-03, F-002-08, F-008-03, F-008-07, F-009-03, F-009-06, F-012-03, F-012-08, F-017-03, F-017-08, F-020-04, F-021-02, F-021-06, F-023-06, F-024-03, F-024-09",0.0,8,1,28,0.6964
nist80053,PE-20,Asset Monitoring and Tracking,PE,not_assessed,,0.0,0,0,28,0.0
nist80053,PE-3,Physical Access Control,PE,not_met,"F-001-01, F-001-02, F-001-03, F-002-01, F-002-02, F-002-03, F-002-04, F-002-05, F-002-06, F-003-01, F-003-02, F-003-04, F-004-01, F-004-02, F-004-04, F-005-01, F-006-01, F-006-02, F-007-01, F-008-01, F-008-02, F-008-03, F-008-04, F-008-05, F-008-06, F-009-01, F-009-02, F-009-03, F-009-04, F-009-05, F-010-01, F-011-01, F-011-02, F-011-05, F-012-01, F-012-02, F-012-03, F-012-04, F-012-05, F-012-07, F-013-01, F-013-02, F-013-04, F-014-01, F-015-01, F-015-02, F-015-03, F-015-05, F-017-01, F-017-02, F-017-03, F-017-04, F-017-05, F-018-01, F-019-01, F-020-01, F-020-02, F-020-05, F-021-01, F-021-02, F-021-03, F-022-01, F-023-01, F-023-02, F-023-05, F-024-01, F-024-02, F-024-03, F-024-04, F-024-05, F-024-06, F-025-01, F-025-02, F-026-01, F-027-01, F-027-03, F-028-01",0.0,20,6,28,0.1786
nist80053,PE-3(1),Physical Access Control | System Access,PE,not_met,"F-003-04, F-004-04, F-011-05, F-013-04, F-020-05, F-023-05",0.0,6,0,28,0.7857
nist80053,PE-3(5),Physical Access Control | Tamper Protection,PE,not_met,"F-001-02, F-002-06, F-002-07, F-005-01, F-005-02, F-006-03, F-008-05, F-009-05, F-010-01, F-011-02, F-011-03, F-012-05, F-013-02, F-013-03, F-014-01, F-014-02, F-015-03, F-015-04, F-016-01, F-017-05, F-017-06, F-018-01, F-018-02, F-019-02, F-020-02, F-021-04, F-023-03, F-024-06, F-024-07, F-027-01, F-028-01",0.0,14,8,28,0.3571
nist80053,PE-4,Access Control for Transmission,PE,not_met,"F-001-02, F-002-06, F-005-01, F-008-05, F-009-05, F-010-01, F-011-02, F-012-05, F-013-02, F-014-01, F-015-03, F-017-05, F-018-01, F-020-02, F-024-06, F-027-01, F-028-01",0.0,17,0,28,0.3929
nist80053,PE-5,Access Control for Output Devices,PE,not_assessed,,0.0,0,0,28,0.0
nist80053,PE-6,Monitoring Physical Access,PE,not_met,"F-002-07, F-003-02, F-003-03, F-004-02, F-004-03, F-005-02, F-006-03, F-006-04, F-011-03, F-011-04, F-012-06, F-013-03, F-014-02, F-015-04, F-016-01, F-017-06, F-017-07, F-018-02, F-019-02, F-019-03, F-020-03, F-021-04, F-021-05, F-022-02, F-023-01, F-023-03, F-023-04, F-024-07, F-024-08, F-025-03, F-026-02, F-027-02",0.0,15,7,28,0.3393
nist80053,PE-6(1),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,PE,not_assessed,,0.0,0,0,28,0.0
nist80053,PE-6(4),Monitoring Physical Access | Monitoring Physical Access to Systems,PE,met,"F-003-04, F-004-04, F-011-05, F-013-04, F-020-05, F-023-05",1.0,0,0,28,1.0
nist80053,PE-8,Visitor Access Records,PE,not_met,"F-003-03, F-004-03, F-006-04, F-011-04, F-012-06, F-017-07, F-019-03, F-020-03, F-020-04, F-021-05, F-022-02, F-023-04, F-024-08, F-025-03, F-026-02, F-027-02",0.0,1,14,28,0.7143
nist80053,RA-5,Vulnerability Monitoring and Scanning,RA,not_met,"F-001-01, F-001-03, F-002-05, F-003-01, F-004-01, F-007-01, F-008-04, F-008-06, F-009-04, F-011-01, F-012-04, F-012-07, F-013-01, F-015-01, F-015-05, F-017-04, F-020-01, F-021-03, F-024-05, F-027-03",0.0,8,3,28,0.6607
nist80053,SC-13,Cryptographic Protection,SC,not_met,"F-001-01, F-002-01, F-003-01, F-004-01, F-006-02, F-008-01, F-009-01, F-011-01, F-012-01, F-013-01, F-015-01, F-017-01, F-020-01, F-021-01, F-023-02, F-024-01, F-025-02",0.0,12,5,28,0.4821
nist80053,SC-8,Transmission Confidentiality and Integrity,SC,not_met,"F-001-02, F-002-01, F-002-02, F-002-06, F-003-02, F-004-02, F-005-01, F-006-01, F-006-02, F-008-01, F-008-02, F-008-05, F-009-01, F-009-02, F-009-05, F-010-01, F-011-02, F-012-01, F-012-02, F-012-05, F-013-02, F-014-01, F-015-02, F-015-03, F-017-01, F-017-02, F-017-05, F-018-01, F-019-01, F-020-02, F-021-01, F-022-01, F-023-01, F-023-02, F-024-01, F-024-02, F-024-06, F-025-01, F-025-02, F-026-01, F-027-01, F-028-01",0.0,20,6,28,0.1786
nist80053,SI-4,System Monitoring,SI,partially_met,"F-002-07, F-005-02, F-006-03, F-011-03, F-013-03, F-014-02, F-015-04, F-016-01, F-017-06, F-018-02, F-019-02, F-021-04, F-023-03, F-024-07",0.5,0,14,28,0.75
